user_name,score,content,clean_content,sentimen
Malmsteen,1,saya sudah lama pakai dana dan udah premium tapi di saya gak ada fitur dana cicil nya padahal teman saya yang baru pakai langsung ada fitur dana cicil nya,pakai dana udah premium fitur dana cicil nya teman pakai langsung fitur dana cicil nya,netral
Fahrul Rozi,1,dana cicil saya hilang kmbli,dana cicil hilang kmbli,netral
San Comel,1,dana tidak aman saya sebagai pengguna dana merasa di rugikan saldo saya sering hilang,dana aman guna dana rugi saldo hilang,positif
Fahtar,1,"sumpah kenapa dah, dana sekarang banyak bug, error dll, padahal dulu bagus ini aku kena bug atau error lagi ga bisa tranfer logo semuanya jadi putih ngeleg, tolong cepet di betulin profesional lah",sumpah dah dana bug error dll bagus kena bug error tranfer logo putih ngeleg tolong cepet betulin profesional,negatif
Ayu Thea,1,DANA APLIKASI SAMPAH KAGA GUNA ADA DAN CICIL KAGA BISA AKTIVASI PAKE DANA TIAP HARI JUGA,dana aplikasi sampah kaga cicil kaga aktivasi pake dana,netral
Andhy Putra,1,"JANGAN DONLOD APK DANA BENER2 GA AMAN ,, SALDO SAYA HILANG PIHAK DANA TIDAK MW GANTI SLOGAN 100% DANA KEMBALI JIKA HILANG / DI BOBOL PENIPU",donlod apk dana aman saldo hilang dana mw ganti slogan dana hilang bobol tipu,netral
Heru Kurniawan,1,"ga bisa lagi pakai dana cicil 🙄, telat bayar , padahal dah lama dilunasin,🤦",pakai dana cicil telat bayar dah dilunasin,negatif
Vildi Febialdi,1,uang saya hilang begitu sajah saya mohon tolong kembalikan uang saya karena saya tidak terima atas transaksi google yang tiba tiba terpotong,uang hilang sajah mohon tolong kembali uang terima transaksi google potong,netral
Prisillia,1,jelek udh isi no wa TPI ga kekirim kode nya burikk,jelek isi no wa tpi kirim kode nya burikk,negatif
Muhammad Ivan,1,"aplikasi yang benar² membingungkan mau pindahin akun ke nomor lama gak bisa karena harus otp,bisa tapi harus ngosongin saldo gimana ceritanya ngosongin saldo tapi ktp udah dipakai diakun lama,hubungi CS sama aja ngak membantu sama sekali dan di akun lama itu masih ada sedikit uang🥲🥲",aplikasi bingung pindahin akun nomor otp ngosongin saldo gimana cerita ngosongin saldo ktp udah pakai akun hubung cs aja ngak bantu akun uang,netral
ALVAN PRATAMA,1,kenapa apk dana ku kok gak bisa di instal,apk dana ku instal,netral
Ryas Syauqi,1,aplikasi taikk gak jelas,aplikasi taikk,netral
Dandi Indri,1,mulai detik ini gua ga pake apk maling kaya gini saldo gua ilang tanpa persetujuan dari pemilik akun tiba2 terpotong padahal ga pernah ngasih otp/ yg lain nya,detik gua pake apk maling kaya gin saldo gua ilang tuju milik akun potong ngasih otp nya,netral
Kurniawan Pga,1,"GK jelas dana sekarang masak beli paket data 8gb, 54rb yg masuk cuman 4,5 GB",dana masak beli paket data gb rb masuk cuman gb,netral
hati laskar cinta,2,"tolong di perbaiki lagi bos,, kalau motong saldo akun dana cicil harus ada bukti pemotongannya dari aplikasi. saya kasih bintang ⭐⭐ dulu sampai ini di perbaiki lagi..",tolong baik bos motong saldo akun dana cicil bukti potong aplikasi kasih bintang baik,positif
Bilal Rizfaxi,2,bgus sangat menarik,bgus tarik,netral
Rukis Ardiyansah,2,udah 5 tahun lama pake apk dana blom di kasih aja dana cicil tolong dong min,udah pake apk dana blom kasih aja dana cicil tolong min,netral
Apa Nurul,2,sangat membantu,bantu,netral
Puttri Puttry,2,"tolong Aplikasi DANA nya di perbaiki lagi yaaa, kenapa tiba-tiba potong uang 1000, 5000 padahal dulu gak gini..",tolong aplikasi dana nya baik yaaa potong uang gin,positif
Gilang Prasetyo,2,"kenapa tidak bisa login padahal no telp sudah benar, sudah di coba uninstall dan install ulang aplikasi tetap saja tidak bisa. keterangan jaringan error",login no telp coba uninstall install ulang aplikasi terang jaring error,negatif
Dea Savina,2,ada limit tapi gak bisa di pake,limit pake,netral
Adef Vasco,2,dana kok menolak pembayaran,dana tolak bayar,netral
Mamas M1467,2,Fitur dana cicil gak muncul muncul,fitur dana cicil muncul muncul,netral
Virus Kokok12,2,saldo saya bisa hilang,saldo hilang,netral
Pahri Purdiansyah,2,gimana sih dana ini. gak aman bangget. dana saya hilang. tiba tiba ada notifikasi masuk metode mebayran berhasil padahal saya sedng tidak melakukan transaksi apa pun. dan tiba tiba saldo nya kesedot. jujur saya kecewa padahal saldo itu untuk membayran barayan saya untuk tes,gimana sih dana aman bangget dana hilang notifikasi masuk metode mebayran hasil sedng transaksi saldo nya sedot jujur kecewa saldo membayran barayan tes,netral
Sova Nurhasanah,2,"saya mencoba masuk akun dana lagi, tapi otp tidak menerima otp. karena email sudah tidak terpasang di handphone. bagaimana cara merubah email di akun dana? atau bagaimana cara merubah akan otp bisa masuk lewat pesan / via WhatsApp",coba masuk akun dana otp terima otp email pasang handphone rubah email akun dana rubah otp masuk pesan via whatsapp,netral
Dimas Aditana,2,"gangguan mulu noh kaga bisa klik transfer samsek mana lama lagi, udah gitu kaga ada keterangan kesalahan teknis/lagi repair gini kan jadi males safe disini trus juga dana udah dari lama jadi e wallet sehari hari gw tapi kenapa gangguannya kurang jelas mulu kek hubungan gw Ama dia yang gatau arahnya gimana. oiya ini gw ngomel pas mau bayar makan, pemilik toko kaga ada qris trus juga kadang dibikin lama pas lagi tarik saldo di outlet terdekat bikin malu aja gw lama nungguin ampe kasirnya kesel ndr",ganggu mulu noh kaga klik transfer samsek udah gitu kaga terang salah teknis repair gin males safe trus dana udah e wallet hari gw ganggu mulu kek hubung gw ama gatau arah gimana oiya gw ngomel pas bayar makan milik toko kaga qris trus kadang bikin pas tarik saldo outlet dekat bikin malu aja gw nungguin ampe kasir kesel ndr,netral
Jahari Tr,2,kok bisa ilang uang ny pdahal baru lihat ada uang ny pas mau beli koata ilang uang ny,ilang uang ny pdahal lihat uang ny pas beli koata ilang uang ny,netral
Opik 123,2,tolong perbaiki lagi karena sering mengalami koneksi terputus padahal jaringan bagus,tolong baik alami koneksi putus jaring bagus,positif
tince Situmorang,2,"aku mau bikin nomor dana baru, tapi malah nyambung ke nomor dana lama ku. aku udah lupa password nya😡",bikin nomor dana nyambung nomor dana ku udah lupa password nya,netral
Joker 325,2,"semenjak pembaruan dana bisnis jadi membingungkan,, kembalikan ke sistem sebelumnya.. kalo gk ku pindah ke yg lain",semenjak baru dana bisnis bingung kembali sistem kalo ku pindah,netral
Andini Natalia,2,lemotttttttt,lemotttttttt,netral
Aswan Faisal,2,"top up e-money 50rb di transaksi dana berhasil masuk cuma pas di cek di e-money malah saldo masih kurang dari 50rb gimana si ini dana, padahal udah komplen tapi malah di cuekin",top up e money rb transaksi dana hasil masuk pas cek e money saldo rb gimana si dana udah komplen cuekin,positif
Ady Indarto,2,kok dana cicil sya gak muncul ya,dana cicil sya muncul ya,netral
Dasep Maulana,2,"dana Adain fitur trans jakarta dong kaya gopay, please lah dana oh dana",dana adain fitur trans jakarta kaya gopay please dana oh dana,netral
Kristina Albazia,2,aplikasi GK jelas . masih ada saldo tiba2 GK bisa diakses,aplikasi saldo akses,netral
Hanif Riski Saputra,2,mohon maaf min tolong permudah penggantian nama akun dana bisnis🙏,mohon maaf min tolong mudah ganti nama akun dana bisnis,netral
FALA JULI SAPUTRA,2,kenapa selalu eror saldo selalu kosong pdhl saldo tersedia ada TPI kdng eror saldo kosong aneh mau nyari mkn aja susah kena saldo kosong makin kocak,eror saldo kosong pdhl saldo sedia tpi kdng eror saldo kosong aneh nyari mkn aja susah kena saldo kosong kocak,negatif
Carwito Wito,2,bagus,bagus,positif
Febi,2,kenapa temanku transfer uang ke dana saya tidak masuk uangnya yah padahal transaksi berhasil tapi uangnya tjdak masuk ke saya gimana koo bisaaaaa😭😭,teman transfer uang dana masuk uang yah transaksi hasil uang tjdak masuk gimana koo bisaaaaa,netral
Myra Alrizqi,2,gagal mlu,gagal mlu,negatif
Naupal Istihori,2,kenapa aktipasi dana cicil harus nunggu 5 hari padahal udah bener hadeh,aktipasi dana cicil nunggu udah hadeh,netral
Ical Ramadan,2,"kenapa si gabisa gabti no hp yg udah ga aktif kan akun saya jadi gabisa kebuka padahal ktp saya sendiri akun saya sendiri dibuat seribet ini tolong dana perbaiki lah, boleh ribet asal ada solusi nya inimah gada solusi nya",si gabisa gabti no hp udah aktif akun gabisa buka ktp akun seribet tolong dana baik ribet solusi nya inimah gada solusi nya,netral
Novita Sani,2,"harga paket promonya jadi naik, turunin lagilah harganya",harga paket promonya turunin lagi harga,netral
Nurista Aryani,2,kenapa sekarang ada biaya administrasi ny 2500,biaya administrasi ny,netral
Semmi Ariska,2,limit dana cicil ada tapi tidak bisa dipakai alias gak guna,limit dana cicil pakai alias,netral
Yohanes Mawo,2,sangat bagus,bagus,positif
rudi van jadoer,2,pembaruan mulu,baru mulu,netral
Genta Teguh permana,2,respon Diana si customer service ini gajelas minta bantuan utk pengembalian uang setelah kirim bukti malah nanya ulang seperti di awal ada kenal atau tidak... gimana ini? bisa banyak org rugi,respon ana si customer service gajelas bantu utk kembali uang kirim bukti nanya ulang kenal gimana org rugi,netral
Dimas Celtic,2,tolong segera verifikasi perubahan nomor saya,tolong verifikasi ubah nomor,netral
Indri Rantika,2,"saya kasih bintang 2 karena kecewa sudah 2 x aplikasinya transaksi sendiri, dan pembayaran sendiri",kasih bintang kecewa x aplikasi transaksi bayar,negatif
Intan Agustin,2,"saya punya dana 61rb trs TF 25rb ke orang,terus kok sisa 16rb sih gmn ini",dana rb tf rb orang sisa rb sih gmn,netral
Mhw Iqbal_94,2,tolong munculkan dana instan di akun dana saya,tolong muncul dana instan akun dana,netral
Saibah Sasa,2,sangat menyenakan,sena,netral
Roby,2,"dan terjadi lgi saldo saya berkurang 🤦 tiba"" top up CapCut ,dan kmrn free fire max",lgi saldo kurang top up capcut kmrn free fire max,positif
Yogi Saputra,2,sudah hampir 3 tahun saya menggunakan dana tapi tidak pernah dapat fitur dana cicil,dana fitur dana cicil,netral
Rangga Doang,2,saya sudah bayar dana cicil saya sebelum waktunya eh pas mau pake lagi tidak bisa. apl gak jelas,bayar dana cicil eh pas pake apl,netral
Ketut alina Okta,2,"fitur dana cicil tidak bisa pakai terus ,padahal trnsaksi sering ,makin parah makin buruk",fitur dana cicil pakai trnsaksi parah buruk,negatif
Tedjo Sutarjo,2,penangannan masalah pemidahan akun premium ke no baru . lama banget dan ujungnya gagal.,penangannan pemidahan akun premium no banget ujung gagal,negatif
Fachri rizki alfarizi,2,"terkadang gbsa bayar menggunakan qris, something when wrong terus, kalo seperti ini lebih baik saya menggunakan aplikasi lain",terkadang gbsa bayar qris something when wrong kalo aplikasi,netral
Man 999,2,sllu gangguan pada qris entah lah apk dana ini kenapa,sllu ganggu qris apk dana,netral
Trik Ardiansyah,2,Dulu pake dana gampang bgt..knpa skrg susah terus logout muluu...padahal udh diperbarui jg..🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ sekarang sering bgt saldo ilang berkurang didana kanapa dana ga seenak dlu & mau nyimpen uang berapa pun gak pernah ilang & berkurang jg.,pake dana gampang banget knpa skrg susah logout muluu baru jg banget saldo ilang kurang dana kanapa dana enak dlu nyimpen uang ilang kurang jg,negatif
Alip Fitri,2,kenapa dana punya saya ngak ada dana cicil nya kak buat pinjem uang,dana ngak dana cicil nya kak pinjem uang,netral
Aswandi Saputra,2,punya sy kok GK ada fitur dana cicil yah??,sy fitur dana cicil yah,netral
Zanuri Muh Arif Badawi,2,gimana sih caranya narikdana darigame,gimana sih narikdana darigame,netral
Akbar Ramadhan,2,"halo developer dana,saya ingin mengajukan keluhan, kenapa ya limit TF dana tidak ada batas aja gitu, soalnya kan yang mau TF ke orang lain tapi udah limit kan gimana,sama satu lagi,kalo bisa dana+ nya jangan pake KTP,saran aku sih ganti aja ke kk,biar orang ngga kesusahan saat ingin mengupgrade dana!",halo developer dana aju keluh ya limit tf dana batas aja gitu tf orang udah limit gimana kalo dana nya pake ktp saran sih ganti aja kk biar orang ngga susah mengupgrade dana,negatif
Andi Kurniwan,2,"woii kenpa dana ini, masak ada notif tapi saldo ny gak masukk haduhhh",woii kenpa dana masak notif saldo ny masukk haduhhh,netral
Amirul Azhar,2,mau top up ga bisa,top up,positif
ERICK 1996,2,baru pake,pake,netral
Fadilah,2,"ya tuhan susah betul. untuk pemindahan akun atau pengganti an nomor karena kartu hp saya hilang, dan tidak bisa uang sudah tertahan diakun dana. apakah jaminan uang kembali itu hoax aja diakun dana sdh berapa kali mencoba sampai sekarang juga gak bisa pihak dana plisss kasih nomor wa yang resmi. bisa saya hubungi",ya tuhan susah pindah akun ganti an nomor kartu hp hilang uang tahan akun dana jamin uang hoax aja akun dana kali coba dana plisss kasih nomor wa resmi hubung,negatif
sonic sonic,2,aneh yang punya orang lain dana instan sama dana cicilnya muncul yang punya saya gak ada aneh pilih2 kaya gitu padahal akun nya udah premium sama make nya juga udah lama trus tiap hari juga transaksi tapi gak muncul2 dana cicil ama dana instanya,aneh orang dana instan dana cicil muncul aneh pilih kaya gitu akun nya udah premium make nya udah trus transaksi muncul dana cicil ama dana instanya,netral
Summy 1122,2,"fitur dana instan gak pernah muncul, padahal udh premium terus transaksi juga udah pernah sampe limit tetep gak keluar",fitur dana instan muncul premium transaksi udah sampe limit tetep,netral
leonel ardiansyah,2,"knp setelah di update dana plus n fitur profil hilang,,yg ada cuma pengaturan trus logout",knp update dana plus n fitur profil hilang atur trus logout,netral
Banana Squird,2,"parah ga dapet dana cicil di tolak padahal sering transaksi dan udah lama pake dana, parah parah",parah dapet dana cicil tolak transaksi udah pake dana parah parah,negatif
Karias Dalam,2,pitur dana Instan/ dana Cicil ga muncul di sya,pitur dana instan dana cicil muncul sya,netral
Ria Tungkal,2,kenpa sistem dana msh eror saya mau gunakn dana msukn no dana yg benar aja ngk tolong dong dana saya,kenpa sistem dana msh eror gunakn dana msukn no dana aja ngk tolong dana,netral
Ricky Somantri,2,"makin sini, mkin bnyak gangguan gak jlas",mkin bnyak ganggu jlas,netral
rozik,2,saya punya ada bug dan harus menunggu beberapa lama tapi bug nya ngak di selesaiin,bug tunggu bug nya ngak selesaiin,negatif
Sadam Husein,2,dana cicil nya ga bisa lagi di gunakan,dana cicil nya,netral
Reni Mulyaningsih,2,"biasa nya kirim ke rekening ngk pake admin ,skrng pake admin 🥲",nya kirim rekening ngk pake admin skrng pake admin,netral
Jankbhadiez Jank,2,"Bagus sih tapi sayangnya limit dana cicil saya jadi g bisa ke pakai padahal sudah lunas cicilannya,",bagus sih sayang limit dana cicil g pakai lunas cicil,positif
Lucky WBT,2,tolong di perbaiki soalnya kadang saldo kita hilang sendirinya,tolong baik kadang saldo hilang,positif
Abil Azhar,2,"Fitur dana cicil tidak jelas, saya ada masalah membeli kuota, dan tidak bisa/gagal malah di riwayat transaksi uangnya kembali padahal tidak dan malah jadi tagihal di dana cicil, pada saat itu saya nggak daftar dana cicil dan malah ada tagihan, diana juga kurang membantu",fitur dana cicil beli kuota gagal riwayat transaksi uang tagihal dana cicil daftar dana cicil tagih ana bantu,negatif
Laga Lagu,2,bayar pakek qris kadang bisa kadang tidak bisa tolong di perbaiki lagi,bayar pakek qris kadang kadang tolong baik,positif
agiit Rangga97,2,"penangananya lama bnget . kirain buka pembekuan akun sementara cepet . ternyqta butuh 3 hari .. trua saya top up buat apah duit yg di dana ga bisa di pakai sama sekali . sedangkan saya butuh bnget make duit ituh 😤😤 Ga lagi"" deh make dana 😡😡",penangananya bnget kirain buka beku akun cepet ternyqta butuh trua top up apah duit dana pakai butuh bnget make duit ituh deh make dana,positif
frichzala farda,2,"sekarang mau isi saldo harus kepotong admin njir, pdahal enak yg sebelumnya ga ada biaya admin2 an",isi saldo potong admin njir pdahal enak biaya admin an,netral
Ima Nur aisah,2,"mana dana gua woiii dah di TF Ama Kaka gua kok ga masuk"" padahalnomer nya benar",dana gua woiii dah tf ama kaka gua masuk padahalnomer nya,netral
skyy ky,2,gajelas muka sendiri malah dikata muka orang alhasil dana gw eror gabisa di buka,gajelas muka kata muka orang alhasil dana gw eror gabisa buka,netral
Arz BOT Gaming,2,"Buat gratis transfer 50/100 antar bank, dikit banget 10x cuk",gratis transfer bank dikit banget x cuk,netral
Rozzalio,2,masuk dengan nomor yang tidak aktif sangat rumit dan ganti nomornya juga tolong bantu an nya pakai pihak kedua dengan nomor kode nya pakai email yang aktif apa bila nomor tidak aktif,masuk nomor aktif rumit ganti nomor tolong bantu an nya pakai nomor kode nya pakai email aktif nomor aktif,netral
Agus Prasetyo,2,bagus,bagus,positif
akun ML,2,makin ksini makin gjls nih dana🥲,ksini gjls nih dana,netral
Adit Dii,2,"kenapa ya dana cicil punya gw gk muncul""",ya dana cicil gw muncul,netral
Ezra Fiter Craft,2,"saya nyimpan uang di dana+ dan harusnya udah 20k tapi malah tetep 10k belum lagi saldonya yang aselinya 26k jadi 16k malah berkurang tpi di dana plus masih 10k, gimana sih ni aplikasi mau ngescam apa gimana",nyimpan uang dana udah k tetep k saldo aselinya k k kurang tpi dana plus k gimana sih ni aplikasi ngescam gimana,netral
Dirga Hayu,2,makin parah nih apk,parah nih apk,negatif
Aris Wibowo,2,kurang,,netral
Kris Susanto94,2,mau login k dana kok brat baget,login k dana brat baget,netral
Faris Firdaus,2,duit sisa 11.000 hilang jadi 3.700 kemana 7.300 ?,duit sisa hilang mana,netral
Dewi Diyah Setiyowati,2,Aplikasi nya bagus cuman minus nggak bisa unduh barcode Qris Dana Bisnis setiap mau unduh selalu diarahkan ke pengaturan aplikasi Mohon kepada pihak Dana segera diatasi masalah ini supaya saya bisa download Barcode Qris Dana Bisnis saya,aplikasi nya bagus cuman minus unduh barcode qris dana bisnis unduh arah atur aplikasi mohon dana atas download barcode qris dana bisnis,positif
As'ad Afif dly,2,bagai mana saya bisa login ke dana saya bos udh masukkan kode sama verifikasi wajah masukkan kode otp tapi nomornya sudah tidak aktif mohon dibantu rumit kali sekarang klw udh kayak gni pun yg mau dihubungi ntah siapa,login dana bos masuk kode verifikasi wajah masuk kode otp nomor aktif mohon bantu rumit kali klw kayak gni hubung ntah,netral
Rendi Yusup,2,"ini knpa si cuma isi saldo doang pakek biaya admin segala gak jls bngt,padahal kan cuma isi saldo bukan bayar/transaksi gimana si",knpa si isi saldo doang pakek biaya admin jls bngt isi saldo bayar transaksi gimana si,netral
Siswanto Amel,2,baik,,netral
Wawan Siswandi,2,"ini apk Dana kenapa gabisa buka fitur Dana Goals ya, saya mau ambil uang di Dana goals 🤦‍♂️",apk dana gabisa buka fitur dana goals ya ambil uang dana goals,netral
ahmd Huu,2,"Semakin tidak jelas aplikasi nya, saldo tiba tiba kepotog sudah 2x dan tidak ada riwayat transaksi. Cs tidak membantu",aplikasi nya saldo kepotog x riwayat transaksi cs bantu,netral
yusup agussaputra26,2,"update transaksi makin lama, jaringan aman segala macem aman, bayar lancar tapi bukti transaksi lamaaa gila. makin aneh",update transaksi jaring aman macem aman bayar lancar bukti transaksi lamaaa gila aneh,positif
Rohyatun Aeni,2,sy TDK bisa masuk,sy tdk masuk,netral
Good Nawaitu,2,notifikasi promo sudah di matikan masih saja bunyi.,notifikasi promo mati bunyi,netral
Monalisa Balangan,2,hallo saya mau mengeluh kan knp ya akhir2 ini uang yang ada di dana hilang sendiri😊bagai mana ini udah 3 tahun saya pakai aplikasi dana dan ini baru terjadi tolong di perbaiki apakah di bobol atau bagai mana saya mulai takut untuk mnyimpan uang di aplikasi dana,hallo keluh knp ya uang dana hilang udah pakai aplikasi dana tolong baik bobol takut mnyimpan uang aplikasi dana,positif
Rian Julian,2,di dana aplikasiku ga ada dana cicil anehh,dana aplikasi dana cicil anehh,netral
Pilah,2,Tiap ambil hadiah voucher ada kendala terus ga bisa²,ambil hadiah voucher kendala,netral
MazsGee,2,hapus fitur dana cicilnya percuma kalo gabisa di gunakan bikin orang ngarep!!!,hapus fitur dana cicil kalo gabisa bikin orang ngarep,netral
Samsung Galaxy,2,"sebenarnya bagus bagus aja,tapi akhir akhir ini,akun saya terus membayar imetools,padahal saya sama sekali tidak pernah berlangganan di imetools,bahkan saya tidak tau apa itu imetools,sudah di jelasin ke pihak dana,tapi tidak ad bantuan sama sekali",bagus bagus aja akun bayar imetools langgan imetools tau imetools jelasin dana ad bantu,positif
Spin bandel,2,"limit dana cicil ada,tungggakan gak ada tapi gak bisa di pakai,jadi apa gunanya dana cicil ni",limit dana cicil tungggakan pakai guna dana cicil ni,netral
Kenon wagner,2,"limit masih banyak pas mau d pake masa, dana cicilnya g bsa d pake, pas mau pembayaran dana cicil tidak tersedia kan aneh,sayah beri bintang 2 dlu. lw udh bisa d gunkan dana cicil sayah baru sayah kasih bintang 5",limit pas d pake dana cicil g bsa d pake pas bayar dana cicil sedia aneh sayah bintang dlu lw d gun dana cicil sayah sayah kasih bintang,netral
akun pribadi,2,masak aktivitas sudah banyak tetap gak bisa pinjam dana cicil,masak aktivitas pinjam dana cicil,netral
Ratu Ibun,2,kenapa punya saya g ada dana cicil,g dana cicil,netral
Muhammad wafii Fadli Robbani,2,tolong perbaiki atas pembayaran yang otomatis sendiri padahal syaa tidak ada langganan apapun tapi duit saya senilai 260 rb an hilang begitu saja tolong segera ditindaklanjuti ya,tolong baik bayar otomatis syaa langgan apa duit nila rb an hilang tolong ditindaklanjuti ya,positif
Fharell Rp,2,kapan sih aku dapat dana cicill,sih dana cicill,netral
maman ramdani,2,kenapa Saya tidak bisa download aplikasi Dana? padahal sebelum nya sudah terdaftar,download aplikasi dana nya daftar,netral
MHDIQBAL Nasution,2,"saya butuh dana cicil ,perlu banget dana cicil, bisakah di aktip kan dulu,tolong",butuh dana cicil banget dana cicil aktip tolong,netral
Dara suci Rahmadani,2,uang saya hilang banyak di dalam aplikasi,uang hilang aplikasi,netral
ahmad muzakki Firmansyah,2,BAYAR FERIZY AJA GABISAA ANEHH,bayar ferizy aja gabisaa anehh,netral
Linda Linda,2,ok mntp,ok mntp,netral
VIP Indira.p,2,sekarang dana cicil ngga bisa digunakan kenapa,dana cicil ngga,netral
Ade Fratama,2,hanya saja beberapa fitur tidak bisa di gunakan contohnya fitur dana cicil,fitur contoh fitur dana cicil,netral
chenel Krimin,2,"sya udh dana premium dan smua memenuhi persyaratan dan upgrade dana ,masih aja tidak muncul dana instan dan dana cicil",sya dana premium smua penuh syarat upgrade dana aja muncul dana instan dana cicil,netral
Tanji Dor,2,dana sekarang knp si padahal gw ada paket mau transaksi tapi GK bisa jaringan anda bermasalah padhl ke aplikasi gopay bisa bisa aja coba perbaiki masalah ini kesel gw knp coba🤬,dana knp si gw paket transaksi jaring masalah padhl aplikasi gopay aja coba baik kesel gw knp coba,positif
Iyan Syarif,2,"temen saya salah TF ke dana yang belum premium, dan saya ingin login ke akun dana tsb tetapi lupa pin nya,.. kartu masih aktif di saya tapi kalau saya klik lupa pin jawab nya selalu tunggu besok,... sudah 5 hari ini tolong dong yang bisa/ yang permah ngalamin kejadian yang sama soalnya saya butuh saldon",temen salah tf dana premium login akun dana tsb lupa pin nya kartu aktif klik lupa pin nya tunggu besok tolong mah ngalamin jadi butuh saldon,netral
Rapi Wicaksono,2,limited dana cicil tersedia tapi tidak bisa digunakan.,limited dana cicil sedia,netral
Fitri Pitaloka,2,kenapa akun saya tidak bisa di gunakan fitur dana cicil nya padahal saya sudah bayar tepat waktu,akun fitur dana cicil nya bayar,netral
Ahmad Hidayat,2,"kocak ni dana mau top up malah gak bisa ada tulisan ""dana menolak pembayaran karena batas transaksi"" batas apaan woy gw gak pernah ngasih batas aneh banget ni dana perbaikilah woy",kocak ni dana top up tulis dana tolak bayar batas transaksi batas woy gw ngasih batas aneh banget ni dana baik woy,positif
Lutfi Lutfi,2,"dana cicil ada limit 100rb, blm pernah di gunakan, pas mw di pakai wat bayar metode pembayaran dana cicilnya malah ga bsa di aktifin...ga jelas",dana cicil limit rb pas mw pakai wat bayar metode bayar dana cicil bsa aktifin,netral
Daniel Gultom,2,dana udah premium.dana cicil sudah aktif limit sudah ada.tapi sama sekali gak bisah di pake.udah di email gak ada balasan,dana udah premium dana cicil aktif limit bisah pake udah email balas,netral
Agus Irawan,2,"di hari ini tgl 17 apr 2026 ini, saya kecewa dengan apk ini, kenapa ko selalu jaringan anda terputus, pdahal jaringan lg full, liat apk lain gk ada kendala, tiba masuk ke dana selalu jaringan terputus, uda segala hal di coba, tpi gk ngaruh, pdahl baru isi saldo, tpi gk bisa di buka, nyesel ngisi nya kalo gini",tgl apr kecewa apk ko jaring putus pdahal jaring lg full liat apk kendala masuk dana jaring putus uda coba tpi ngaruh pdahl isi saldo tpi buka sesal ngisi nya kalo gin,negatif
alok rendyy,2,bagus,bagus,positif
Eva yuki,2,selalu telat pemberitahuan aktivitasnya. jd kdang bingung org kirim saldo tp g ad laporannya... tlong dong perbaiki,telat pemberitahuan aktivitas kdang bingung org kirim saldo g ad lapor tlong baik,netral
Agus Karyono,2,tdak btul,tdak btul,netral
Tresna Oke,2,bagus,bagus,positif
Mita Liasari,2,"kenapa saya gk bisa kirim uang, kata nya harus upgrade... udah di upgrade tpi tetap gk bisa..",kirim uang nya upgrade udah upgrade tpi,netral
Halizah,2,dana cicil gak keluar di akun saya di tempat akun kawan saya keluar kenapa begini cara memilih,dana cicil akun akun kawan pilih,netral
Tsanisyah09 Utti,2,Kenapa dana cicil saya tidak bisa di gunakan lagi ya?sedangkan saya sudah melunasi nya?,dana cicil ya lunas nya,netral
Rian Hidayatullah,2,saya sudah bertahun tahun pake dana belom ada jug fitur dana cicil,tahun pake dana bom jug fitur dana cicil,netral
Maulid Haziq,2,"banyak nya peretas akun dana,, saya sudah kecolongan uang di dana",nya retas akun dana colong uang dana,netral
Win Narso,2,knpa saldo dana cicil saya tidak bisa di gunakan...,knpa saldo dana cicil,netral
Ahmad PN,2,banyak penipuan di aplikasi dana susah mau mengadu kemana kurang pengamanan akun,tipu aplikasi dana susah adu mana aman akun,negatif
Wiwit Aja,2,"error panjang bikin kapok, mending g usah install . sudah 2 hari g bisa buka...kapok mana uang udah masuk g bisa digunakan",error bikin kapok mending g install g buka kapok uang udah masuk g,negatif
NAERAA,2,tiidak dpt scan kode qr,tiidak dpt scan kode qr,netral
Ri Yanti,2,bagus,bagus,positif
ilham Guines,2,kenapa akun dana saya gk ada Dana cicil ya,akun dana dana cicil ya,netral
Heri Yanto,2,saya ingin ada investasi perak digital,investasi perak digital,netral
zeliano gats,2,"kenapa saya tidak bisa menggunakan dana cicil, selalu transaksi pakai dana,dan saat saya kepepet masih belum bisa,saya sangat kecewa dengan hal ini",dana cicil transaksi pakai dana pepet kecewa,negatif
Vivi Vi,2,"Terpaksa saya un install untung saja belum daftar ke premium, sangat mengecewakan setiap mau pembayaran ke Qris kode gambar tidak pernah keluar, sangat sangat jelek",paksa un install untung daftar premium kecewa bayar qris kode gambar jelek,negatif
Guio Fgff,2,uang saya tiba tiba ilang saya udah 150 ribu ilang kenapa ko ada tran sak si tanpa pengetahuan saya ko bisa seharus nya kalau saya transakasi seharusnya harus pake pin ko biya gak pake pin gimna nih,uang ilang udah ribu ilang ko tran sak si tahu ko harus nya transakasi pake pin ko biya pake pin gimna nih,netral
Agus Fiki,2,dana cicilan,dana cicil,netral
Fabian Ahza Hidayat,2,kenapa saya susdh upgrade tapi dan sudah berhasil kenapa masih blm ke upgrade kaya saya tidk bisa memakai fitur dana+ padahal saya sudah upgrade,susdh upgrade hasil upgrade kaya tidk pakai fitur dana upgrade,netral
Bagus Prasetya,2,ngebug terusssssss,ngebug terusssssss,netral
EDAN Poxyy,2,tidak bisa login error,login error,negatif
